image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,spacja_przerwa.keys,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,trial_trening.stopped,pilot_suwak.response,pilot_suwak.rt,koniec_treningu.started,spacja_start.started,start_badania.started,koniec_treningu.stopped,spacja_start.keys,spacja_start.rt,spacja_start.duration,przerwa.started,przerwa.stopped,trials.spacja_przerwa.keys,trial.started,fiksacja1.started,fiksacja1.stopped,label_text.started,label_text.stopped,fiksacja2.started,fiksacja2.stopped,stim_image.started,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.048826900019776076,0.06979959999443963,0.06979959999443963,6.341336300014518,space,6.247939400025643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.341949100024067,6.348413300001994,6.348413300001994,8.431533800030593,space,2.075576400035061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.432147099985741,8.447689900000114,8.447689900000114,10.99098609999055,space,2.539380300033372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.078874700004235,11.082351699995343,11.588659400003962,11.70515960000921,14.71363770001335,14.896481600007974,15.411690999986604,15.595557300024666,16.492994000029285,16.492994000029285,16.492994000029285,16.492994000029285,16.508674399985466,18.42137639998691,33.02083333333333,7.337565499998163,,,,,,,,,,,,,,,,,,,,,,,,,,,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42206010001246,18.437023300037254,18.437023300037254,21.977887900022324,space,3.5358784000272863,None,,,,,,,,,,,,,,,,,,,,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,1,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,None,-36.45833333333333,7.303088500048034,0,0,0,0,22.08173929998884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.002869400021154,22.00290560000576,None,22.07845339999767,22.08173929998884,22.59208720002789,22.708443099982105,25.417753999994602,25.61717929999577,26.132523700012825,26.316322099999525,27.511981500021648,27.511981500021648,27.511981500021648,27.511981500021648,27.528631900029723,29.39123790001031,-36.45833333333333,7.303088500048034,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,1,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,None,40.625,7.464204699965194,0,1,1,1,29.449926600034814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.391661800036673,29.391706700029317,None,29.44694019999588,29.449926600034814,29.955154700030107,30.104640799982008,32.81421009998303,32.99704129999736,33.5123678999953,33.69606300001033,34.89168709999649,34.89168709999649,34.89168709999649,34.89168709999649,34.908506600011606,36.92048319999594,40.625,7.464204699965194,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",test,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,None,-2.6041666666666714,7.93893169995863,0,2,2,2,36.9689725000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.92080190003617,36.92083289998118,None,36.96498550003162,36.9689725000062,37.468113099981565,37.63450839999132,40.34387650003191,40.526297500007786,41.041823800012935,41.22518820001278,42.421528200036846,42.421528200036846,42.421528200036846,42.421528200036846,42.438072599994484,44.91519899998093,-2.6041666666666714,7.93893169995863,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZW 80,20\1K ZW 8020.png",Poprzedni badani wykryli w tej twarzy 20% zaufania.,zaufanie,wstręt,1,80/20 zaufania,Procentowa Ludzie,Niezgodny,Dominacja Lewo zaufanie,3,3,0,None,-36.14583333333333,7.564927400031593,0,3,3,3,44.97498719999567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.91560870001558,44.91565189999528,None,44.97196310001891,44.97498719999567,45.47929530002875,45.6290977000026,48.33852220000699,48.521424899983685,49.036583599983715,49.22042050003074,50.41621180000948,50.41621180000948,50.41621180000948,50.41621180000948,50.43286790000275,52.544751600013115,-36.14583333333333,7.564927400031593,492798,001,2026-04-24_19h39.42.649,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 19h39.43.496785 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZO 50,50\1K ZO 5050.png",Poprzedni badani wykryli w tej twarzy 75% oczekiwania.,zaskoczenie,oczekiwanie,1,50/50 ,Procentowa Ludzie,n/d,Sugestia Prawo oczekiwanie,4,4,0,,,,0,4,4,4,52.599933099991176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.54518120002467,52.545223900000565,None,52.59580000001006,52.599933099991176,53.10830870002974,53.258220300020184,55.967599000025075,56.15061620000051,56.66544700000668,56.849547900026664,58.045350600034,58.045350600034,58.045350600034,58.045350600034,58.062080800009426,,,,,,,,,,,
