thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,suwaki_instrukcja.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_stim_image.stopped,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.02210709999781102,0.033605000004172325,0.033605000004172325,0.5619133000727743,space,0.5080535999732092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252418,001,2026-04-27_16h55.18.367,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 16h55.18.836718 +0200,
,,,,,,,,,,0.5621691000415012,0.5727764000184834,0.5727764000184834,0.5727764000184834,7.438302300055511,space,6.861429699929431,None,,,,,,,,,,,,,,,,,,,,,252418,001,2026-04-27_16h55.18.367,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 16h55.18.836718 +0200,
,,,,,,,,,,,,,,,,,,7.439056999981403,7.454081100062467,7.454081100062467,8.468858200008981,space,1.0011903999838978,None,,,,,,,,,,,,,,252418,001,2026-04-27_16h55.18.367,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 16h55.18.836718 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,8.498774099978618,8.502658599987626,9.01626619999297,9.182793700019829,12.19065010000486,12.373859400046058,12.88905680004973,13.073028000071645,14.38516870001331,14.468312400043942,14.468312400043942,14.468312400043942,14.468312400043942,,,,,,,,
