image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,fiksacja1.started,label_text.started,fiksacja1.stopped,fiksacja2.started,label_text.stopped,stim_image.started,fiksacja2.stopped,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,1,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,-21.750000000000004,11.235111200017855,0,0,0,0,0.1470110000227578,,True,0.1290329999756068,0.1470110000227578,1.1122872999985702,1.1615873000118881,3.605504299979657,3.622255700000096,4.603097599989269,4.635828300029971,5.516209100023843,5.516209100023843,5.516209100023843,5.516209100023843,5.533204699982889,11.370039600005839,-21.750000000000004,11.235111200017855,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,1,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,32.0,7.127498499990907,0,1,1,1,11.43422619998455,,,11.426047599990852,11.43422619998455,12.481000799976755,12.447701600030996,14.974646400019992,14.991675500001293,15.972065999987535,15.988939300004859,16.86904560000403,16.86904560000403,16.86904560000403,16.86904560000403,16.885398600017652,18.566884899977595,32.0,7.127498499990907,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",kontrolna,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,-20.0,10.11144270002842,0,2,2,2,18.63011099997675,,,18.61836870003026,18.63011099997675,19.678427200007718,19.645224999985658,22.171707600005902,22.188292999984697,23.168981900031213,23.185746199975256,24.066027700027917,24.066027700027917,24.066027700027917,24.066027700027917,24.082472899986897,28.739678899990395,-20.0,10.11144270002842,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZW 80,20\1K ZW 8020.png",Poprzedni badani wykryli w tej twarzy 20% zaufania.,zaufanie,wstręt,1,80/20 zaufania,Procentowa Ludzie,Niezgodny,Dominacja Lewo zaufanie,3,3,0,30.0,6.679313800006639,0,3,3,3,28.802546399994753,,,28.79781479999656,28.802546399994753,29.851154099975247,29.817848599981517,32.34366549999686,32.360137499985285,33.34080780000659,33.35716020001564,34.25472570001148,34.25472570001148,34.25472570001148,34.25472570001148,34.25472570001148,35.4875400000019,30.0,6.679313800006639,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZO 50,50\1K ZO 5050.png",Poprzedni badani wykryli w tej twarzy 75% oczekiwania.,zaskoczenie,oczekiwanie,1,50/50 ,Procentowa Ludzie,n/d,Sugestia Prawo oczekiwanie,4,4,0,-30.5,7.789645600016229,0,4,4,4,35.56880990002537,,,35.54740859998856,35.56880990002537,36.598358699993696,36.581854599993676,39.091261800029315,39.1081964999903,40.08990540000377,40.10611729999073,40.98668600001838,40.98668600001838,40.98668600001838,40.98668600001838,41.003258600016125,43.349494500027504,-30.5,7.789645600016229,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZS 80,20\1K ZS 8020.png",kontrolna,strach,złość,0,80/20 prawo (złość),Kontrolna,kontrolny,Brak,5,5,0,16.75,10.202029200037941,0,5,5,5,43.41443910001544,,,43.40642040001694,43.41443910001544,44.46028160001151,44.42700149997836,46.954270699992776,46.97055470000487,47.95161970000481,47.968104999978095,48.848707300028764,48.848707300028764,48.848707300028764,48.848707300028764,48.865815600031056,53.621505599992815,16.75,10.202029200037941,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZW 50,50\1K ZW 5050.png",Poprzedni badani wykryli w tej twarzy wstręt.,zaufanie,wstręt,1,50/50,Kategorialna Ludzie,n/d,Sugestia Prawo wstręt,6,6,0,9.0,7.90783109999029,0,6,6,6,53.684900199994445,,,53.67861629999243,53.684900199994445,54.73251970001729,54.70042670000112,57.22573730000295,57.24244150001323,58.22265840001637,58.23999819997698,59.11975499999244,59.11975499999244,59.11975499999244,59.11975499999244,59.13660730002448,61.5996041999897,9.0,7.90783109999029,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\RS 80,20\1K RS 8020.png",Model sztucznej inteligencji wykrył w tej twarzy smutek.,radość,smutek,1,80/20 radość,Kategorialna AI,Niezgodny,Dominacja Lewo radość,7,7,0,-18.0,9.54934939998202,0,7,7,7,61.663717599993106,,,61.645474300021306,61.663717599993106,62.71109150000848,62.677870900020935,65.20353759999853,65.21964050002862,66.2020249000052,66.21830020000925,67.11511940002674,67.11511940002674,67.11511940002674,67.11511940002674,67.11511940002674,71.20658050000202,-18.0,9.54934939998202,pilot,001,2026-04-24_16h01.30.827,untitled_FINAL_NEWEST,,2026.1.1,60.449478149210535,2026-04-24 16h01.31.446711 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZO 50,50\1M ZO 5050.png",Model sztucznej inteligencji wykrył w tej twarzy zaskoczenie.,zaskoczenie,oczekiwanie,1,50/50,Kategorialna AI,n/d,Sugestia Lewo zaskoczenie,8,8,0,,,0,8,8,8,71.27089270000579,,,71.25972550001461,71.27089270000579,72.31826819997514,72.28507919999538,74.81085880001774,74.82773620000808,75.80912709998665,75.82559909997508,76.70578439999372,76.70578439999372,76.70578439999372,76.70578439999372,76.72251089999918,,,,,,,,,,,,
