image_path,etykieta,left_label,right_label,show_label,thisN,thisTrialN,thisRepN,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,label_text.started,stim_image.started,label_text.stopped,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,radość,smutek,1,0,0,0,4.46,3.3363060999836307,0,0,0,0,0.219338399998378,,True,0.2095190999971237,0.219338399998378,1.0331388000049628,1.2347962000058033,2.030820699990727,2.030820699990727,2.030820699990727,2.0481349999899976,3.5300046000047587,4.46,3.3363060999836307,pilot,001,2026-04-20_14h43.18.566,untitled_FINAL_NEWEST,,2026.1.1,59.96386576810176,2026-04-20 14h43.18.729605 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,strach,złość,1,1,1,0,1.88,3.3521374999836553,0,1,1,1,3.5600190999975894,,,3.548715999990236,3.5600190999975894,4.542093099997146,4.575293400004739,5.554561700002523,5.554561700002523,5.554561700002523,5.571671100013191,6.904329899989534,1.88,3.3521374999836553,pilot,001,2026-04-20_14h43.18.566,untitled_FINAL_NEWEST,,2026.1.1,59.96386576810176,2026-04-20 14h43.18.729605 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,zaufanie,wstręt,1,2,2,0,,,0,2,2,2,6.934609499992803,,,6.925034699990647,6.934609499992803,7.915676900011022,7.948963100003311,8.912395099992864,8.912395099992864,8.912395099992864,8.930604199995287,,,,,,,,,,,,
