image_path,etykieta,left_label,right_label,show_label,thisN,thisTrialN,thisRepN,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,fiksacja1.started,label_text.started,fiksacja1.stopped,stim_image.started,label_text.stopped,stim_image.stopped,fiksacja2.started,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,fiksacja2.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,radość,smutek,1,0,0,0,4.52,6.692788499989547,0,0,0,0,0.07033099999534898,,True,0.05752910001319833,0.07033099999534898,0.2538135999930091,0.3197719000163488,1.7564101000025403,1.7664131000055932,2.9635855999949854,2.9635855999949854,3.2282157000154257,3.2282157000154257,3.2282157000154257,3.2282157000154257,6.7550002000061795,4.52,6.692788499989547,pilot,001,2026-04-20_15h20.49.948,untitled_FINAL_NEWEST,,2026.1.1,59.5539409826919,2026-04-20 15h20.50.196973 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,strach,złość,1,1,1,0,1.76,4.880640899995342,0,1,1,1,6.784880000021076,,,6.771081800019601,6.784880000021076,7.018711100012297,7.0351957000093535,8.514150100003462,8.530625900020823,9.728409700008342,9.71177340002032,9.960785600007512,9.960785600007512,9.960785600007512,9.977499000000535,11.65875960001722,1.76,4.880640899995342,pilot,001,2026-04-20_15h20.49.948,untitled_FINAL_NEWEST,,2026.1.1,59.5539409826919,2026-04-20 15h20.50.196973 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,zaufanie,wstręt,1,2,2,0,,,0,2,2,2,11.688712500006659,,,11.675027799996315,11.688712500006659,11.921402300009504,11.938117400015472,13.418235000019195,13.435092600004282,14.631326800008537,14.615311300003668,14.864105899992865,14.864105899992865,14.864105899992865,14.881010200013407,,,,,,,,,,,,
