image_path,label,show_label,thisN,thisTrialN,thisRepN,slider_emotion1.response,slider_emotion1.rt,slider_emotion2.response,slider_emotion2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,label_text.started,stim_image.started,label_text.stopped,stim_image.stopped,slider_emotion1.started,slider_emotion2.started,trial.stopped,trials.slider_emotion1.response,trials.slider_emotion1.rt,trials.slider_emotion2.response,trials.slider_emotion2.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\360_F_268212419_ZBJvlgVezhjziaP9aynnMGMLOvjUgNG5.jpg,Ten piesek jest smutny,1,0,0,0,4.333333333333333,4.642791200007196,None,None,0,0,0,0,0.10385879999375902,,False,0.09905780000553932,0.10385879999375902,1.0042412000038894,1.1168223999993643,2.021020400003181,2.021020400003181,2.021020400003181,4.757609799999045,4.333333333333333,4.642791200007196,None,None,472519,001,2026-04-19_22h17.33.567,untitled,,2026.1.1,59.99340072455923,2026-04-19 22h17.34.126257 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\dachshund-8910099_640.jpg,Ten piesek jest wesoły,0,1,1,0,1.3666666666666667,3.8426904999942053,None,None,0,1,1,1,4.776436400003149,,,4.772675999993226,4.776436400003149,5.771264099996188,5.787456699996255,6.790821500006132,6.7784584000037285,6.7784584000037285,8.630521800005226,1.3666666666666667,3.8426904999942053,None,None,472519,001,2026-04-19_22h17.33.567,untitled,,2026.1.1,59.99340072455923,2026-04-19 22h17.34.126257 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,Ten piesek jest smutny,0,2,2,0,4.533333333333333,3.427825100006885,None,None,0,2,2,2,8.65040020000015,,,8.64569799999299,8.65040020000015,9.643404100002954,9.659972800000105,10.663688799992087,10.649755899998127,10.649755899998127,12.08785799999896,4.533333333333333,3.427825100006885,None,None,472519,001,2026-04-19_22h17.33.567,untitled,,2026.1.1,59.99340072455923,2026-04-19 22h17.34.126257 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\images (1).jpg,Ten piesek jest smutny,1,3,3,0,,,,,0,3,3,3,12.104499399996712,,,12.093138600001112,12.104499399996712,13.100762400004896,13.117480999993859,14.114059700004873,14.105226899991976,14.105226899991976,,,,,,,,,,,,,,
