image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,spacja_przerwa.keys,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,trial_trening.stopped,pilot_suwak.response,pilot_suwak.rt,koniec_treningu.started,spacja_start.started,start_badania.started,koniec_treningu.stopped,spacja_start.keys,spacja_start.rt,spacja_start.duration,przerwa.started,przerwa.stopped,trials.spacja_przerwa.keys,trial.started,label_text.started,label_text.stopped,fiksacja2.started,fiksacja2.stopped,stim_image.started,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,oddzielenie_triali.started,text.started,oddzielenie_triali.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.4670487999683246,0.4904354999307543,0.4904354999307543,2.366052799974568,space,1.8085962999612093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.376981999957934,2.405310299945995,2.405310299945995,2.704722399939783,space,0.28900870005600154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.716107100015506,2.7599906999384984,2.7599906999384984,3.1498522999463603,space,0.3178400000324473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1974126000422984,3.242829700000584,3.747737400000915,3.864046199945733,6.872382999979891,7.055559300002642,7.57040369999595,7.754609299940057,8.667313699959777,8.667313699959777,8.667313699959777,8.667313699959777,8.667313699959777,10.929393399972469,38.02083333333333,7.735228499979712,,,,,,,,,,,,,,,,,,,,,,,,,,,,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.930523699964397,10.945044199936092,10.945044199936092,18.408159999991767,space,7.45743839989882,None,,,,,,,,,,,,,,,,,,,,,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,4,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,None,36.04166666666666,6.991250499966554,0,0,0,0,18.50674690003507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43783850001637,18.437875799951144,None,18.503414600039832,18.50674690003507,22.513204299961217,22.645816799951717,22.895191699964926,23.09590469999239,24.29151849995833,24.29151849995833,24.29151849995833,24.29151849995833,24.307919000042602,25.505596700008027,36.04166666666666,6.991250499966554,25.506214599939995,25.521811899961904,29.01240330003202,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,4,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,None,42.60416666666667,6.8812668999889866,0,1,1,1,29.089664099970832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.014005100005306,29.014082700014114,None,29.086180899990723,29.089664099970832,33.10059950000141,33.21738689998165,33.46660859999247,33.666756300022826,34.86285249993671,34.86285249993671,34.86285249993671,34.86285249993671,34.879534199950285,35.97779509995598,42.60416666666667,6.8812668999889866,35.979035199969076,35.993142399936914,39.483741299947724,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",test,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,None,40.3125,2.7947180999908596,0,2,2,2,39.53956239996478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.48510419996455,39.48518590000458,None,39.535801699967124,39.53956239996478,39.53956239996478,39.69969339994714,39.949000300024636,40.14908220001962,41.34532299998682,41.34532299998682,41.34532299998682,41.34532299998682,41.36177359998692,42.34366310003679,40.3125,2.7947180999908596,42.34490240004379,42.35901100002229,45.84970409993548,140934,001,2026-04-25_21h29.08.684,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h29.10.040314 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZW 80,20\1K ZW 8020.png",Poprzedni badani wykryli w tej twarzy 20% zaufania.,zaufanie,wstręt,4,80/20 zaufania,Procentowa Ludzie,Niezgodny,Dominacja Lewo zaufanie,3,3,0,,,,0,3,3,3,45.913262099958956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.851193799986504,45.851258200011216,None,45.9101119999541,45.913262099958956,49.92162879998796,50.05469399993308,50.30412129999604,50.50433929997962,,,,,,,,,,,,,,,,,,,
