thisRow.t,notes,piloting,test_textbox.started,textbox.started,test_textbox.stopped,instrukcja.started,spacja_instr.started,text_instr.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.044289000041317195,0.06097880000015721,4.0084533000481315,,,,260522 ,001,2026-04-24_20h05.02.748,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 20h05.03.852766 +0200,
,,,,,,4.008919800049625,4.025299800036009,4.025299800036009,,,,,,,,
