thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_fiksacja2.started,pilot_label_text.stopped,pilot_stim_image.started,pilot_fiksacja2.stopped,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.04936659999657422,0.06394979998003691,0.06394979998003691,4.802834599977359,space,4.7266998999984935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-24_18h12.35.267,untitled_FINAL_NEWEST,,2026.1.1,59.90567252809697,2026-04-24 18h12.36.050613 +0200,
,,,,,,,,,,4.803373599948827,4.815087599970866,4.815087599970866,5.366837799956556,space,0.5371539000188932,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-24_18h12.35.267,untitled_FINAL_NEWEST,,2026.1.1,59.90567252809697,2026-04-24 18h12.36.050613 +0200,
,,,,,,,,,,,,,,,,,5.367122799973004,5.3804541999707,5.3804541999707,5.782410399988294,space,0.386592400027439,None,,,,,,,,,,,,,,pilot,001,2026-04-24_18h12.35.267,untitled_FINAL_NEWEST,,2026.1.1,59.90567252809697,2026-04-24 18h12.36.050613 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,5.825821399979759,5.844287199957762,6.841816499945708,6.892552199948113,9.385401199979242,9.900935399986338,10.392274599988014,10.415684899955522,11.29644379997626,11.29644379997626,11.29644379997626,11.29644379997626,11.29644379997626,,,,,,,,,
