thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,textbox_2.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,spacja_suwak.started,textbox_3.started,suwaki_interpretacja.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,True,0.054550600005313754,0.078299600048922,0.078299600048922,0.563222200027667,space,0.4715335000073537,None,,,,,pilot,001,2026-04-27_18h55.41.442,percepcja_wersja_finalna,,2026.1.1,2026-04-27 18h55.41.982302 +0200,
,,,,,,,,,,0.5720303000416607,0.5874093000311404,0.5874093000311404,0.5874093000311404,,,,,,,,
