image_path,etykieta,left_label,right_label,show_label,thisN,thisTrialN,thisRepN,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,fiksacja1.started,label_text.started,fiksacja1.stopped,label_text.stopped,fiksacja2.started,stim_image.started,fiksacja2.stopped,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,radość,smutek,1,0,0,0,4.8,8.54127509999671,0,0,0,0,0.08711449999827892,,True,0.06960550000076182,0.08711449999827892,1.1013726999808569,1.1013726999808569,3.6119302999868523,3.6119302999868523,4.609113699989393,4.642160399991553,5.521887099981541,5.521887099981541,5.521887099981541,5.521887099981541,5.539495499979239,8.61691339997924,4.8,8.54127509999671,pilot,001,2026-04-20_15h44.43.469,untitled_FINAL_NEWEST,,2026.1.1,59.81222549689455,2026-04-20 15h44.43.769213 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,strach,złość,1,1,1,0,1.34,8.003169100004015,0,1,1,1,8.6462404000049,,,8.637107499991544,8.6462404000049,9.728315799991833,9.662498699995922,12.237894199992297,12.220989800000098,13.218827499978943,13.23522909998428,14.11595189999207,14.11595189999207,14.11595189999207,14.11595189999207,14.132887099985965,16.64484860000084,1.34,8.003169100004015,pilot,001,2026-04-20_15h44.43.469,untitled_FINAL_NEWEST,,2026.1.1,59.81222549689455,2026-04-20 15h44.43.769213 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,zaufanie,wstręt,1,2,2,0,4.8,7.35695470002247,0,2,2,2,16.675308099976974,,,16.66311169997789,16.675308099976974,17.755672700004652,17.688918500003638,20.265559999999823,20.248689200001536,21.246873700001743,21.26431369999773,22.143919199996162,22.143919199996162,22.143919199996162,22.143919199996162,22.16057439998258,24.024712799990084,4.8,7.35695470002247,pilot,001,2026-04-20_15h44.43.469,untitled_FINAL_NEWEST,,2026.1.1,59.81222549689455,2026-04-20 15h44.43.769213 +0200,
C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\ee7bd76502e1d9aea7c74fc5bea75be9.jpg,test,zaskoczenie,oczekiwanie,1,3,3,0,,,0,3,3,3,24.054745799978264,,,24.040937599987956,24.054745799978264,25.13575819999096,25.069401399989147,27.644959800003562,27.644959800003562,,,,,,,,,,,,,,,,,,,
