thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,textbox_2.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,spacja_suwak.started,textbox_3.started,suwaki_interpretacja.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.12340019992552698,0.1450781999155879,0.1450781999155879,1.4278404000215232,space,1.2424646000145003,None,,,,,,,,,,,,,,,,,,,,,,,,430418,001,2026-04-27_18h03.37.396,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h03.38.207044 +0200,
,,,,,,,,,,1.4349406999535859,1.441366699989885,1.441366699989885,1.441366699989885,2.630003299913369,space,1.1759149000281468,None,,,,,,,,,,,,,,,,430418,001,2026-04-27_18h03.37.396,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h03.38.207044 +0200,
,,,,,,,,,,,,,,,,,,2.6308022999437526,2.646239399909973,2.646239399909973,3.411755200009793,space,0.7611326000187546,None,,,,,,,,,430418,001,2026-04-27_18h03.37.396,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h03.38.207044 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,3.4344041999429464,3.438525600009598,4.191383800003678,4.374242699937895,7.382892199908383,7.565444399951957,8.329978299909271,8.514125999994576,,,,,,,,
