thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,True,0.1610863000387326,0.19833180005662143,0.19833180005662143,1.4154549000086263,space,1.1201869999058545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-27_12h36.46.677,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 12h36.47.482646 +0200,
,,,,,,,,,,1.4344497000565752,1.5167218999704346,1.5167218999704346,1.7940652000252157,space,0.2694928999990225,None,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-27_12h36.46.677,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 12h36.47.482646 +0200,
,,,,,,,,,,,,,,,,,1.801730400067754,1.8453483000630513,1.8453483000630513,2.5157635000068694,space,0.6177508999826387,None,,,,,,,,,,,,,,pilot,001,2026-04-27_12h36.46.677,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 12h36.47.482646 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,2.5542732999892905,2.595204900018871,3.094728700001724,3.24496659997385,6.249104500049725,6.43279720004648,6.947066100081429,7.130054700071923,8.425601099967025,8.425601099967025,8.425601099967025,8.425601099967025,8.442007699981332,,,,,,,,
