thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,textbox_2.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,spacja_suwak.started,textbox_3.started,suwaki_interpretacja.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_stim_image.stopped,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.0318649000255391,0.0508884999435395,0.0508884999435395,0.9023540000198409,space,0.841150899999775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268797,001,2026-04-27_18h23.29.012,percepcja_wersja_finalna,,2026.1.1,2026-04-27 18h23.29.625251 +0200,
,,,,,,,,,,0.9071782999671996,0.9151715999469161,0.9151715999469161,0.9151715999469161,1.7097652000375092,space,0.7882252000272274,None,,,,,,,,,,,,,,,,,,,,,268797,001,2026-04-27_18h23.29.012,percepcja_wersja_finalna,,2026.1.1,2026-04-27 18h23.29.625251 +0200,
,,,,,,,,,,,,,,,,,,1.7106725999619812,1.7256523999385536,1.7256523999385536,2.3246340999612585,space,0.5891319999936968,None,,,,,,,,,,,,,,268797,001,2026-04-27_18h23.29.012,percepcja_wersja_finalna,,2026.1.1,2026-04-27 18h23.29.625251 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,2.352325399988331,2.3579950999701396,3.1211200000252575,3.28773929993622,6.296106599969789,6.478992099990137,7.243785299942829,7.427309599937871,8.73956419993192,8.839476099936292,8.839476099936292,8.839476099936292,8.839476099936292,,,,,,,,
