thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,textbox_2.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,spacja_suwak.started,textbox_3.started,suwaki_interpretacja.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_stim_image.stopped,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.17447209998499602,0.195064099971205,0.195064099971205,0.6374579999828711,space,0.3852668000617996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463226,001,2026-04-27_18h05.08.347,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h05.09.181550 +0200,
,,,,,,,,,,0.6506740999175236,0.6612804000033066,0.6612804000033066,0.6612804000033066,1.0227473999839276,space,0.3536428000079468,None,,,,,,,,,,,,,,,,,,,,,463226,001,2026-04-27_18h05.08.347,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h05.09.181550 +0200,
,,,,,,,,,,,,,,,,,,1.0276550999842584,1.0406787999672815,1.0406787999672815,1.63652890000958,space,0.5863359000068158,None,,,,,,,,,,,,,,463226,001,2026-04-27_18h05.08.347,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 18h05.09.181550 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,1.663958599907346,1.6760476999916136,2.4327962999232113,2.5987811000086367,5.607485599932261,5.7902192999608815,6.5549340000143275,6.73867979994975,8.05047089990694,8.150464699952863,8.150464699952863,8.150464699952863,8.150464699952863,,,,,,,,
