image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,spacja_przerwa.keys,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,trial_trening.stopped,pilot_suwak.response,pilot_suwak.rt,koniec_treningu.started,spacja_start.started,start_badania.started,koniec_treningu.stopped,spacja_start.keys,spacja_start.rt,spacja_start.duration,przerwa.started,przerwa.stopped,trials.spacja_przerwa.keys,trial.started,fiksacja1.started,fiksacja1.stopped,label_text.started,label_text.stopped,fiksacja2.started,fiksacja2.stopped,stim_image.started,stim_image.stopped,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,oddzielenie_triali.started,oddzielenie_triali.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.02543309994507581,0.04879549995530397,0.04879549995530397,0.5371983000077307,space,0.47887649992480874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53859609994106,0.5574549000011757,0.5574549000011757,0.8109266000101343,space,0.24004329997114837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8113307999446988,0.8244845999870449,0.8244845999870449,1.0766750000184402,space,0.24880479997955263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0953363999724388,1.1060376999666914,1.6216065000044182,1.7877505000215024,4.79670469998382,4.9792980999918655,5.494039900018834,5.677809200016782,6.607628299971111,6.607628299971111,6.607628299971111,6.607628299971111,6.607628299971111,7.391758800018579,45.5,6.296040000044741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.392577299964614,7.406193999922834,7.406193999922834,8.09203980001621,space,0.6836567999562249,None,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,1,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,None,38.5,6.201912599964999,0,0,0,0,8.185977699933574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.124299900024198,8.124336799955927,None,8.179197999997996,8.185977699933574,8.685796899953857,8.835624299943447,11.544401600025594,11.726848299964331,12.225935599999502,12.42625090002548,13.654605299932882,13.654605299932882,13.654605299932882,13.654605299932882,13.654605299932882,14.389518199954182,38.5,6.201912599964999,14.390208899974823,14.390271099982783,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,1,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,None,35.75,6.244768999982625,0,1,1,1,14.468994800001383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.390851599979214,14.390886600012891,None,14.449720799922943,14.468994800001383,14.968834399944171,15.10179879993666,17.81088549993001,17.993403099942952,18.50833649991546,18.69169949996285,19.904879699926823,19.904879699926823,19.904879699926823,19.904879699926823,19.904879699926823,20.706305400002748,35.75,6.244768999982625,20.707074099918827,20.707136599929072,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",test,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,None,35.75,6.204323899932206,0,2,2,2,20.769749299972318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.707738899975084,20.707775700022466,None,20.754133299924433,20.769749299972318,21.285061899921857,21.418394499924034,24.12669039994944,24.309493199922144,24.808810099959373,25.008145899977535,26.22114949999377,26.22114949999377,26.22114949999377,26.22114949999377,26.22114949999377,26.97215329995379,35.75,6.204323899932206,26.9727309999289,26.972784799989313,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZW 80,20\1K ZW 8020.png",Poprzedni badani wykryli w tej twarzy 20% zaufania.,zaufanie,wstręt,1,80/20 zaufania,Procentowa Ludzie,Niezgodny,Dominacja Lewo zaufanie,3,3,0,None,35.0,8.57699909992516,0,3,3,3,27.035166900022887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.973296499927528,26.973331999965012,None,27.030021099955775,27.035166900022887,27.534094900009222,27.683917799964547,30.392671499983408,30.57585989998188,31.075047999969684,31.2747481999686,32.48737190000247,32.48737190000247,32.48737190000247,32.48737190000247,32.48737190000247,35.61460760002956,35.0,8.57699909992516,35.615479000029154,35.615521600004286,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZO 50,50\1K ZO 5050.png",Poprzedni badani wykryli w tej twarzy 75% oczekiwania.,zaskoczenie,oczekiwanie,1,50/50 ,Procentowa Ludzie,n/d,Sugestia Prawo oczekiwanie,4,4,0,None,35.0,6.935532900039107,0,4,4,4,35.67865969997365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61593109997921,35.61595419992227,None,35.66562719992362,35.67865969997365,36.19402239995543,36.32680049992632,39.036734199966304,39.219216499943286,39.73479120002594,39.91782119998243,41.13055389991496,41.13055389991496,41.13055389991496,41.13055389991496,41.13055389991496,42.61258129996713,35.0,6.935532900039107,42.61332260002382,42.613366700010374,pilot,001,2026-04-25_19h33.56.234,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h33.56.753197 +0200,
