thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,textbox_2.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,spacja_suwak.started,textbox_3.started,image.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,False,0.08860869996715337,0.10381939995568246,0.10381939995568246,1.4314851999515668,space,1.300661600078456,None,,,,,124978,001,2026-04-27_17h39.41.082,untitled_FINAL_NEWEST,,2026.1.1,2026-04-27 17h39.41.789493 +0200,
,,,,,,,,,,1.4404212000081316,1.4465887999394909,1.4465887999394909,1.4465887999394909,,,,,,,,
