thisRow.t,notes,piloting,test_textbox.started,textbox.started,test_textbox.stopped,instrukcja.started,spacja_instr.started,text_instr.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,True,0.39673659997060895,0.43687279999721795,4.0015992999542505,,,,pilot,001,2026-04-24_20h03.47.756,untitled_FINAL_NEWEST,,2026.1.1,2026-04-24 20h03.49.038749 +0200,
,,,,,,4.001918499998283,4.013105999969412,4.013105999969412,,,,,,,,
