image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,spacja_przerwa.keys,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,trial_trening.stopped,pilot_suwak.response,pilot_suwak.rt,koniec_treningu.started,spacja_start.started,start_badania.started,koniec_treningu.stopped,spacja_start.keys,spacja_start.rt,spacja_start.duration,przerwa.started,przerwa.stopped,trials.spacja_przerwa.keys,trial.started,label_text.started,label_text.stopped,fiksacja2.started,fiksacja2.stopped,stim_image.started,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,stim_image.stopped,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,oddzielenie_triali.started,text.started,oddzielenie_triali.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.3714605999412015,0.3875704000238329,0.3875704000238329,1.668070900021121,space,1.2086378000676632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6900563000235707,1.8929582999553531,1.8929582999553531,2.0141735000070184,space,0.03287440002895892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0369627999607474,2.0953362999716774,2.0953362999716774,2.6132614000234753,space,0.45646020001731813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6938776000170037,2.751616599969566,3.2502489000326023,3.326913099968806,6.335694700013846,6.518683200003579,7.033581199939363,7.217833700007759,8.130397100001574,8.130397100001574,8.130397100001574,8.130397100001574,8.130397100001574,10.043342099990696,45.52083333333333,7.378832699963823,,,,,,,,,,,,,,,,,,,,,,,,,,,,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044976499979384,10.059194299974479,10.059194299974479,11.888010499998927,space,1.8164034000365064,None,,,,,,,,,,,,,,,,,,,,,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,4,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,None,41.04166666666667,6.905211600009352,0,0,0,0,11.990680399932899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.916534599964507,11.916569099994376,None,11.9868209999986,11.990680399932899,15.992778299958445,16.125592099968344,16.374948799959384,16.575520299957134,17.770942999981344,17.770942999981344,17.770942999981344,17.770942999981344,17.787418699939735,18.903162600006908,41.04166666666667,6.905211600009352,18.904243999975733,18.917959399987012,22.408752199960873,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,4,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,None,37.39583333333334,7.06880240002647,0,1,1,1,22.48198289994616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.410130799980834,22.410195300006308,None,22.478519099997357,22.48198289994616,26.497012999956496,26.613808800000697,26.862929599941708,27.063113800017163,28.25921940000262,28.25921940000262,28.25921940000262,28.25921940000262,28.275407599983737,29.557034599944018,37.39583333333334,7.06880240002647,29.55827619996853,29.571955099934712,33.06271780002862,757693,001,2026-04-25_21h34.29.493,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 21h34.30.655923 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",test,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,,,,0,2,2,2,33.16655099997297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06416509998962,33.064228800009005,None,33.16255150001962,33.16655099997297,33.16655099997297,33.2788414999377,33.5282968999818,33.7285384000279,34.92410559998825,34.92410559998825,34.92410559998825,34.92410559998825,34.94070759997703,36.20496110001113,37.5,3.0289716999977827,36.205781399970874,36.22080220002681,,,,,,,,,
